Ona,Onaite
1980
Vilnius
Endless Love,1981,Romantic drama,Universal Pictures,Franco Zeffirelli,Brooke Shields,Martin Hewitt,32492674
Days of Thunder,1990,Racing,Paramount Pictures,Tony Scott,Tom Cruise,Nicole Kidman,157920733
Far and Away,1992,Romantic adventure drama,Universal Pictures,Ron Howard,Tom Cruise,Nicole Kidman,137800000
Honeymoon in Vegas,1992,Comedy,Columbia Pictures,Andrew Bergman,James Caan,Nicolas Cage,35208854
Interview with the Vampire,1994,Drama horror,Warner Bros.,Neil Jordan,Tom Cruise,Brad Pitt,223700000
Batman Forever,1995,Superhero,Warner Bros.,Joel Schumacher,Val Kilmer,Tommy Lee Jones,336500000
Australia,2008,Romantic drama,20th Century Fox,Baz Luhrmann,Nicole Kidman,Hugh Jackman,211300000
Avatar,2009,Epic Sci-Fi,20th Century Fox,James Cameron,Sam Worthington,Stephen Lung,2778000000
Mission: Impossible Ghost Protocol,2011,Action,Paramount Pictures,Brad Bird,Tom Cruise,Jeremy Renner,694700000
Blended,2014,Romantic comedy,Warner Bros. Pictures,Frank Coracy,Adam Sandler,Drew Barrymore,128000000
